|         line         | RAM[0] | RAM[1] | RAM[2] | RAM[3] | RAM[4] |argument|argument|local[0]|local[1]|local[2]|local[3]|local[4]|
| Math.multiply.48     |    285 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.49     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.50     |    285 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.51     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.52     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.53     |    283 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.55     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.56     |    285 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.57     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   1792 |     63 |      7 |      3 |      0 |
| Math.multiply.58     |    283 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |      7 |      3 |      0 |
| Math.multiply.59     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |      7 |      3 |      0 |
| Math.multiply.60     |    285 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |      7 |      3 |      0 |
| Math.multiply.61     |    286 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |      7 |      3 |      0 |
| Math.multiply.62     |    285 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |      7 |      3 |      0 |
| Math.multiply.63     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |      7 |      3 |      0 |
| Math.multiply.64     |    285 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |      7 |      3 |      0 |
| Math.multiply.65     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |      7 |      3 |      0 |
| Math.multiply.66     |    283 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |     15 |      3 |      0 |
| Math.multiply.67     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |     15 |      3 |      0 |
| Math.multiply.68     |    285 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |     15 |      3 |      0 |
| Math.multiply.69     |    284 |    278 |    271 |      0 |   2071 |   2048 |     63 |   3840 |     63 |     15 |      3 |      0 |
| Math.multiply.70     |    283 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      3 |      0 |
| Math.multiply.71     |    284 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      3 |      0 |
| Math.multiply.72     |    285 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      3 |      0 |
| Math.multiply.73     |    284 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      3 |      0 |
| Math.multiply.74     |    283 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.75     |    283 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.34     |    284 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.35     |    285 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.36     |    284 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.37     |    285 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.38     |    286 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.39     |    285 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.40     |    284 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.41     |    284 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.42     |    283 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.43     |    284 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.44     |    285 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.45     |    284 |    278 |    271 |      0 |   2071 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.46     |    283 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.47     |    284 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.48     |    285 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.49     |    284 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.50     |    285 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.51     |    284 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.52     |    284 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.53     |    283 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.55     |    284 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
| Math.multiply.56     |    285 |    278 |    271 |      0 |   2072 |   4096 |     63 |   3840 |     63 |     15 |      4 |      0 |
